"PrinterID","Name","PrinterType","PaperWidthMM","PrintableWidthMM"
"6813","Rajdhani","Star TSP100IV","80","72"
"6502","No43 - Malta","Star mC-Print2","58","48"
"6515","Koccia Kitchen","Star TSP100IV","80","72"
"7013","Star printer Excel London ","Star mC-Print3","80","72"
"6545","Blue Shutter (Kiosk)","Star TSP100IV","80","72"
"6560","Blue Shutter (Gelateria)","Star TSP100IV","80","72"
"6789","DLA Piper Edinburgh ","Star mC-Print2","58","48"
"6635","Whitebridge Bar","Star TSP100IV","80","72"
"6952","Tokyo Fried Chicken Kitchen","Star TSP100IV","80","72"
"6951","Musqet Demo Unit","Star mC-Print3","80","72"
"6703","Tikka Masala Bar","Star TSP100IV","80","72"
"6471","EPOS LITE + demo (HDS)","Star mC-Print3","80","72"
"6477","Ta'Gabrejel Kitchen (Malta)","Star TSP100IV","80","72"
"6725","Beef buds","Star mC-Print3","80","72"
"6559","Pizza Hut (medcomp) Gibraltar","Star mC-Print3","80","72"
"6394","Woodland Grange Kitchen","Star mC-Print3","80","72"
"6524","Ta'Gabrejel Drinks (Malta)","Star TSP100IV","80","72"
"6514","Koccia Receipt","Star TSP100IV","80","72"
"6391","La Parilla Wholesome - Gibralta","Star TSP100IV","80","72"
"6791","MFSA","Star TSP100IV","80","72"
"6806","Que Bar (Gozo)","Star TSP100IV","80","72"
"6775","Post and packaging uk - kings h","Star TSP100IV","80","72"
"7018","FTFC poolside kitchen","Star TSP100IV","80","72"
"6454","Xemxija Pitstop","Star TSP100IV","80","72"
"6841","Snello's Snack Bar","Star mC-Print3","80","72"
"6849","Big Boy takeaway","Star TSP100IV","80","72"
"6971","D'Vine Kitchen","Star TSP100IV","80","72"
"6688","EUAA","Star mC-Print2","58","48"
"6627","Bridal Malta","Star TSP100IV","80","72"
"6704","Tikka Masala Kitchen","Star TSP100IV","80","72"
"6953","Tokyo Fried Chicken Bar","Star TSP100IV","80","72"
"6683","Gao Bar","Star mC-Print3","80","72"
"6605","Heirloom Streatery","Star mC-Print3","80","72"
"6901","Purple Bazil","Star mC-Print3","80","72"
"6544","Felix Chicken (Malta)","Star mC-Print3","80","72"
"6684","Gao Kitchen","Star TSP100IV","80","72"
"6970","D'Vine Bar","Star TSP100IV","80","72"
"6798","KIR Royal Cafe","Star mC-Print3","80","72"
"6352","Adanola","Star TSP100IV","80","72"
"6862","Ginger and Sage","Star mC-Print3","80","72"
"6986","Fleetwood Town - Parkside Loung","Star mC-Print3","80","72"
"6689","PZ Cussons International","Star mC-Print3","80","72"
"6529","Scania UK HQ","Star mC-Print3","80","72"
"6631","Vanilla Plus Sliema","Star mC-Print3","80","72"
